"","Parent.Name","lhs","Major","Minor"
"309","Axon guidance","CXCL12","Developmental Biology","Axon guidance"
"310","Peptide ligand-binding receptors","CXCL12","Signal Transduction","Signaling by GPCR"
"311","Peptide ligand-binding receptors","CXCL2","Signal Transduction","Signaling by GPCR"
"312","Signaling by Interleukins","CXCL2","Immune System","Cytokine Signaling in Immune system"
"313","GPCR downstream signalling","CXCL2","Signal Transduction","Signaling by GPCR"
"314","Class A/1 (Rhodopsin-like receptors)","CXCL8","Signal Transduction","Signaling by GPCR"
"315","GPCR downstream signalling","CXCL8","Signal Transduction","Signaling by GPCR"
"316","Peptide ligand-binding receptors","CXCL8","Signal Transduction","Signaling by GPCR"
"317","Signaling by Interleukins","CXCL8","Immune System","Cytokine Signaling in Immune system"
"318","Cellular Senescence","CXCL8","Cellular responses to external stimuli","Cellular responses to stress"
"319","PERK regulates gene expression","CXCL8","Metabolism of proteins","Unfolded Protein Response (UPR)"
"320","Early Phase of HIV Life Cycle","CXCR4","Disease","Infectious disease"
"321","Peptide ligand-binding receptors","CXCR4","Signal Transduction","Signaling by GPCR"
"322","GPCR downstream signalling","CXCR4","Signal Transduction","Signaling by GPCR"
"323","Axon guidance","CXCR4","Developmental Biology","Axon guidance"
"324","Cytochrome P450 - arranged by substrate type","CYP1A1","Metabolism","Biological oxidations"
"325","Arachidonic acid metabolism","CYP1A1","Metabolism","Metabolism of lipids"
"326","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","CYP1A1","Metabolism","Metabolism of lipids"
"327","Cytochrome P450 - arranged by substrate type","CYP2E1","Metabolism","Biological oxidations"
"328","Xenobiotics","CYP2E1","Metabolism","Biological oxidations"
"329","Thyroxine biosynthesis","DIO2","Metabolism","Metabolism of amino acids and derivatives"
"330","Signaling by NOTCH3","DLGAP5","Signal Transduction","Signaling by NOTCH"
"331","IRE1alpha activates chaperones","DNAJB9","Metabolism of proteins","Unfolded Protein Response (UPR)"
"332","TP53 Regulates Transcription of Cell Cycle Genes","E2F8","Gene expression (Transcription)","RNA Polymerase II Transcription"
"333","Signaling by PTK6","EGFR","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"334","Signaling by ERBB2","EGFR","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"335","Signaling by Ligand-Responsive EGFR Variants in Cancer","EGFR","Disease","Diseases of signal transduction"
"336","Signaling by Receptor Tyrosine Kinases","EGFR","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"337","Signaling by EGFRvIII in Cancer","EGFR","Disease","Diseases of signal transduction"
"338","Signaling by EGFR","EGFR","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"339","PI3K/AKT Signaling in Cancer","EGFR","Disease","Diseases of signal transduction"
"340","Gastrin-CREB signalling pathway via PKC and MAPK","EGFR","Signal Transduction","Signaling by GPCR"
"341","Negative regulation of the PI3K/AKT network","EGFR","Signal Transduction","Intracellular signaling by second messengers"
"342","L1CAM interactions","EGFR","Developmental Biology","Axon guidance"
"343","Signaling by NOTCH3","EGFR","Signal Transduction","Signaling by NOTCH"
"344","Clathrin-mediated endocytosis","EGFR","Vesicle-mediated transport","Membrane Trafficking"
"345","Membrane Trafficking","EGFR","Vesicle-mediated transport","Membrane Trafficking"
"346","Signaling by Overexpressed Wild-Type EGFR in Cancer","EGFR","Disease","Diseases of signal transduction"
"347","MAPK1/MAPK3 signaling","EGFR","Signal Transduction","MAPK family signaling cascades"
"348","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","EGFR","Gene expression (Transcription)","RNA Polymerase II Transcription"
"349","Intracellular signaling by second messengers","EGFR","Signal Transduction","Intracellular signaling by second messengers"
"350","Developmental Biology","EGR2","Developmental Biology","Developmental Biology"
"351","Activation of HOX genes during differentiation","EGR2","Developmental Biology","Activation of HOX genes during differentiation"
"352","Cap-dependent Translation Initiation","EIF2S1","Metabolism of proteins","Translation"
"353","Eukaryotic Translation Initiation","EIF2S1","Metabolism of proteins","Translation"
"354","Unfolded Protein Response (UPR)","EIF2S1","Metabolism of proteins","Unfolded Protein Response (UPR)"
"355","Transport of small molecules","EIF2S1","Transport of small molecules","Transport of small molecules"
"356","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","EIF2S1","Metabolism of proteins","Translation"
"357","mTOR signalling","EIF4EBP1","Signal Transduction","mTOR signalling"
"358","Cap-dependent Translation Initiation","EIF4EBP1","Metabolism of proteins","Translation"
"359","Cap-dependent Translation Initiation","EIF5","Metabolism of proteins","Translation"
"360","EPH-Ephrin signaling","EPHA4","Developmental Biology","Axon guidance"
"361","Axon guidance","EPHA4","Developmental Biology","Axon guidance"
"362","Arachidonic acid metabolism","EPHX2","Metabolism","Metabolism of lipids"
"363","Global Genome Nucleotide Excision Repair (GG-NER)","ERCC1","DNA Repair","Nucleotide Excision Repair"
"364","DNA Repair","ERCC1","DNA Repair","DNA Repair"
"365","HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)","ERCC1","DNA Repair","DNA Double-Strand Break Repair"
"366","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","ERCC1","DNA Repair","Nucleotide Excision Repair"
"367","Signaling by ERBB2","EREG","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"368","Signaling by ERBB4","EREG","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"369","MAPK1/MAPK3 signaling","EREG","Signal Transduction","MAPK family signaling cascades"
"370","Signaling by Receptor Tyrosine Kinases","EREG","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"371","Negative regulation of the PI3K/AKT network","EREG","Signal Transduction","Intracellular signaling by second messengers"
"372","PI3K/AKT Signaling in Cancer","EREG","Disease","Diseases of signal transduction"
"373","Signaling by PTK6","EREG","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"374","Intracellular signaling by second messengers","EREG","Signal Transduction","Intracellular signaling by second messengers"
"375","Transcriptional regulation by RUNX2","ESR1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"376","Deubiquitination","ESR1","Metabolism of proteins","Post-translational protein modification"
"377","Generic Transcription Pathway","ESR1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"378","Transcriptional regulation by RUNX1","ESR1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"379","Intracellular signaling by second messengers","ESR1","Signal Transduction","Intracellular signaling by second messengers"
"380","Negative regulation of the PI3K/AKT network","ESR1","Signal Transduction","Intracellular signaling by second messengers"
"381","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","ESR1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"382","PI3K/AKT Signaling in Cancer","ESR1","Disease","Diseases of signal transduction"
"383","Signaling by ERBB4","ESR1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"384","Generic Transcription Pathway","ESR2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"385","PI3K/AKT Signaling in Cancer","ESR2","Disease","Diseases of signal transduction"
"386","Intracellular signaling by second messengers","ESR2","Signal Transduction","Intracellular signaling by second messengers"
"387","Negative regulation of the PI3K/AKT network","ESR2","Signal Transduction","Intracellular signaling by second messengers"
"388","Cellular Senescence","ETS1","Cellular responses to external stimuli","Cellular responses to stress"
"389","Platelet activation, signaling and aggregation","F2","Hemostasis","Platelet activation, signaling and aggregation"
"390","GPCR downstream signalling","F2","Signal Transduction","Signaling by GPCR"
"391","Class A/1 (Rhodopsin-like receptors)","F2","Signal Transduction","Signaling by GPCR"
"392","Formation of Fibrin Clot (Clotting Cascade)","F2","Hemostasis","Formation of Fibrin Clot (Clotting Cascade)"
"393","Complement cascade","F2","Immune System","Innate Immune System"
"394","Hemostasis","F2","Hemostasis","Hemostasis"
"395","Metabolism of proteins","F2","Metabolism of proteins","Metabolism of proteins"
"396","Gamma-carboxylation, transport, and amino-terminal cleavage of proteins","F2","Metabolism of proteins","Post-translational protein modification"
"397","Post-translational protein modification","FBXO32","Metabolism of proteins","Post-translational protein modification"
"398","Class I MHC mediated antigen processing & presentation","FBXO32","Immune System","Adaptive Immune System"
"399","Integrin alphaIIb beta3 signaling","FGG","Hemostasis","Integrin signaling"
"400","Post-translational protein modification","FGG","Metabolism of proteins","Post-translational protein modification"
"401","Formation of Fibrin Clot (Clotting Cascade)","FGG","Hemostasis","Formation of Fibrin Clot (Clotting Cascade)"
"402","Extracellular matrix organization","FGG","Extracellular matrix organization","Extracellular matrix organization"
"403","Toll-Like Receptors Cascades","FGG","Immune System","Innate Immune System"
"404","Oncogenic MAPK signaling","FGG","Disease","Diseases of signal transduction"
"405","Response to elevated platelet cytosolic Ca2+","FGG","Hemostasis","Platelet activation, signaling and aggregation"
"406","Platelet Aggregation (Plug Formation)","FGG","Hemostasis","Platelet activation, signaling and aggregation"
"407","Integrin signaling","FGG","Signal Transduction","Integrin signaling"
"408","Metabolism of proteins","FGG","Metabolism of proteins","Metabolism of proteins"
"409","RAF/MAP kinase cascade","FGG","Signal Transduction","MAPK family signaling cascades"
"410","Signaling by FGFR1","FLRT2","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"411","Cellular Senescence","FOS","Cellular responses to external stimuli","Cellular responses to stress"
"412","MAPK targets/ Nuclear events mediated by MAP kinases","FOS","Immune System","Innate Immune System"
"413","Signaling by Interleukins","FOS","Immune System","Cytokine Signaling in Immune system"
"414","Fc epsilon receptor (FCERI) signaling","FOS","Immune System","Innate Immune System"
"415","Transcriptional Regulation by TP53","FOS","Gene expression (Transcription)","RNA Polymerase II Transcription"
"416","Cellular responses to external stimuli","GABARAPL1","Cellular responses to external stimuli","Cellular responses to external stimuli"
"417","TP53 Regulates Transcription of Cell Cycle Genes","GADD45A","Gene expression (Transcription)","RNA Polymerase II Transcription"
"418","Glucose metabolism","GAPDH","Metabolism","Metabolism of carbohydrates"
"419","Metabolism of proteins","GATA6","Metabolism of proteins","Metabolism of proteins"
"420","Hemostasis","GATA6","Hemostasis","Hemostasis"
"421","GPCR downstream signalling","GNAS","Signal Transduction","Signaling by GPCR"
"422","Regulation of insulin secretion","GNAS","Metabolism","Integration of energy metabolism"
"423","Signaling by Hedgehog","GNAS","Signal Transduction","Signaling by Hedgehog"
"424","Platelet homeostasis","GNAS","Hemostasis","Platelet homeostasis"
"425","Class B/2 (Secretin family receptors)","GNAS","Signal Transduction","Signaling by GPCR"
"426","Glucagon signaling in metabolic regulation","GNAS","Metabolism","Integration of energy metabolism"
"427","Integration of energy metabolism","GNAS","Metabolism","Integration of energy metabolism"
"428","Aquaporin-mediated transport","GNAS","Transport of small molecules","Aquaporin-mediated transport"
"429","Signaling by PTK6","GPNMB","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"430","PIP3 activates AKT signaling","GSK3B","Signal Transduction","Intracellular signaling by second messengers"
"431","Hedgehog 'off' state","GSK3B","Signal Transduction","Signaling by Hedgehog"
"432","TCF dependent signaling in response to WNT","GSK3B","Signal Transduction","Signaling by WNT"
"433","phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex","GSK3B","Disease","Diseases of signal transduction"
"434","AXIN mutants destabilize the destruction complex, activating WNT signaling","GSK3B","Disease","Diseases of signal transduction"
"435","truncated APC mutants destabilize the destruction complex","GSK3B","Disease","Diseases of signal transduction"
"436","Degradation of beta-catenin by the destruction complex","GSK3B","Signal Transduction","Signaling by WNT"
"437","AMER1 mutants destabilize the destruction complex","GSK3B","Disease","Diseases of signal transduction"
"438","Transcriptional regulation by RUNX2","GSK3B","Gene expression (Transcription)","RNA Polymerase II Transcription"
"439","Semaphorin interactions","GSK3B","Developmental Biology","Axon guidance"
"440","PI3K/AKT Signaling in Cancer","GSK3B","Disease","Diseases of signal transduction"
"441","Positive epigenetic regulation of rRNA expression","GSK3B","Gene expression (Transcription)","Epigenetic regulation of gene expression"
"442","Signaling by WNT","GSK3B","Signal Transduction","Signaling by WNT"
"443","Cellular response to heat stress","GSK3B","Cellular responses to external stimuli","Cellular responses to stress"
"444","Signaling by WNT in cancer","GSK3B","Disease","Diseases of signal transduction"
"445","Phase II - Conjugation of compounds","GSTM1","Metabolism","Biological oxidations"
"446","Phase II - Conjugation of compounds","GSTP1","Metabolism","Biological oxidations"
"447","Cellular responses to stress","GSTP1","Cellular responses to external stimuli","Cellular responses to stress"
"448","Innate Immune System","GSTP1","Immune System","Innate Immune System"
"449","Intracellular signaling by second messengers","HBEGF","Signal Transduction","Intracellular signaling by second messengers"
"450","Gastrin-CREB signalling pathway via PKC and MAPK","HBEGF","Signal Transduction","Signaling by GPCR"
"451","Signaling by Receptor Tyrosine Kinases","HBEGF","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"452","Signaling by ERBB2","HBEGF","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"453","Signaling by ERBB4","HBEGF","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"454","Negative regulation of the PI3K/AKT network","HBEGF","Signal Transduction","Intracellular signaling by second messengers"
"455","Signaling by PTK6","HBEGF","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"456","Uptake and actions of bacterial toxins","HBEGF","Disease","Infectious disease"
"457","MAPK1/MAPK3 signaling","HBEGF","Signal Transduction","MAPK family signaling cascades"
"458","PI3K/AKT Signaling in Cancer","HBEGF","Disease","Diseases of signal transduction"
"459","Innate Immune System","HERC5","Immune System","Innate Immune System"
"460","Class I MHC mediated antigen processing & presentation","HERC5","Immune System","Adaptive Immune System"
"461","DDX58/IFIH1-mediated induction of interferon-alpha/beta","HERC5","Immune System","Innate Immune System"
"462","Antiviral mechanism by IFN-stimulated genes","HERC5","Immune System","Cytokine Signaling in Immune system"
"463","PERK regulates gene expression","HERPUD1","Metabolism of proteins","Unfolded Protein Response (UPR)"
"464","Metabolism of lipids","HILPDA","Metabolism","Metabolism of lipids"
"465","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","HMGCR","Metabolism","Metabolism of lipids"
"466","Metabolism of steroids","HMGCR","Metabolism","Metabolism of lipids"
"467","Regulation of cholesterol biosynthesis by SREBP (SREBF)","HMGCR","Metabolism","Metabolism of lipids"
"468","Regulation of cholesterol biosynthesis by SREBP (SREBF)","HMGCS1","Metabolism","Metabolism of lipids"
"469","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","HMGCS1","Metabolism","Metabolism of lipids"
"470","Metabolism of steroids","HMGCS1","Metabolism","Metabolism of lipids"
"471","Generic Transcription Pathway","HNF4A","Gene expression (Transcription)","RNA Polymerase II Transcription"
"472","Regulation of beta-cell development","HNF4A","Developmental Biology","Regulation of beta-cell development"
"473","Metabolism of steroid hormones","HSD3B1","Metabolism","Metabolism of lipids"
"474","Metabolism of steroid hormones","HSD3B2","Metabolism","Metabolism of lipids"
"475","Cellular response to heat stress","HSPA4","Cellular responses to external stimuli","Cellular responses to stress"
"476","Cellular response to heat stress","HSPA6","Cellular responses to external stimuli","Cellular responses to stress"
"477","Innate Immune System","HSPA6","Immune System","Innate Immune System"
"478","MAPK family signaling cascades","HSPB1","Signal Transduction","MAPK family signaling cascades"
"479","Signaling by VEGF","HSPB1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"480","Regulation of mRNA stability by proteins that bind AU-rich elements","HSPB1","Metabolism of RNA","Regulation of mRNA stability by proteins that bind AU-rich elements"
"481","Cellular response to heat stress","HSPB8","Cellular responses to external stimuli","Cellular responses to stress"
"482","Negative regulation of the PI3K/AKT network","IER3","Signal Transduction","Intracellular signaling by second messengers"
"483","Signaling by Receptor Tyrosine Kinases","IGF1R","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"484","IGF1R signaling cascade","IGF1R","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"485","IGF1R signaling cascade","IGF2","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"486","Metabolism of proteins","IGF2","Metabolism of proteins","Metabolism of proteins"
"487","Response to elevated platelet cytosolic Ca2+","IGF2","Hemostasis","Platelet activation, signaling and aggregation"
"488","Signaling by Receptor Tyrosine Kinases","IGF2","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"489","Metabolism of proteins","IGFBP2","Metabolism of proteins","Metabolism of proteins"
"490","Post-translational protein modification","IGFBP3","Metabolism of proteins","Post-translational protein modification"
"491","Metabolism of proteins","IGFBP3","Metabolism of proteins","Metabolism of proteins"
"492","TP53 Regulates Transcription of Cell Death Genes","IGFBP3","Gene expression (Transcription)","RNA Polymerase II Transcription"
"493","Metabolism of proteins","IGFBP6","Metabolism of proteins","Metabolism of proteins"
"494","Metabolism of proteins","IGFBP7","Metabolism of proteins","Metabolism of proteins"
"495","Cellular Senescence","IGFBP7","Cellular responses to external stimuli","Cellular responses to stress"
"496","Post-translational protein modification","IGFBP7","Metabolism of proteins","Post-translational protein modification"
"497","Interleukin-2 family signaling","IL15","Immune System","Cytokine Signaling in Immune system"
"498","Cellular Senescence","IL1A","Cellular responses to external stimuli","Cellular responses to stress"
"499","Interleukin-1 family signaling","IL1A","Immune System","Cytokine Signaling in Immune system"
"500","Signaling by Interleukins","IL1A","Immune System","Cytokine Signaling in Immune system"
"501","Signaling by Interleukins","IL1R2","Immune System","Cytokine Signaling in Immune system"
"502","Interleukin-1 family signaling","IL1R2","Immune System","Cytokine Signaling in Immune system"
"503","RAF-independent MAPK1/3 activation","IL6","Signal Transduction","MAPK family signaling cascades"
"504","Post-translational protein modification","IL6","Metabolism of proteins","Post-translational protein modification"
"505","Interleukin-6 family signaling","IL6","Immune System","Cytokine Signaling in Immune system"
"506","Metabolism of proteins","IL6","Metabolism of proteins","Metabolism of proteins"
"507","Cellular Senescence","IL6","Cellular responses to external stimuli","Cellular responses to stress"
"508","Signaling by Interleukins","IL6","Immune System","Cytokine Signaling in Immune system"
"509","Signaling by Interleukins","IL7R","Immune System","Cytokine Signaling in Immune system"
"510","Clathrin-mediated endocytosis","IL7R","Vesicle-mediated transport","Membrane Trafficking"
"511","Membrane Trafficking","IL7R","Vesicle-mediated transport","Membrane Trafficking"
"512","Interleukin-1 family signaling","IRAK2","Immune System","Cytokine Signaling in Immune system"
"513","Toll Like Receptor 4 (TLR4) Cascade","IRAK2","Immune System","Innate Immune System"
"514","Toll Like Receptor TLR1:TLR2 Cascade","IRAK2","Immune System","Innate Immune System"
"515","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","IRAK2","Immune System","Innate Immune System"
"516","Toll Like Receptor 5 (TLR5) Cascade","IRAK2","Immune System","Innate Immune System"
"517","MAP kinase activation in TLR cascade","IRAK2","Immune System","Innate Immune System"
"518","Toll Like Receptor 9 (TLR9) Cascade","IRAK2","Immune System","Innate Immune System"
"519","TRIF(TICAM1)-mediated TLR4 signaling","IRAK2","Immune System","Innate Immune System"
"520","MyD88 cascade initiated on plasma membrane","IRAK2","Immune System","Innate Immune System"
"521","MyD88:Mal cascade initiated on plasma membrane","IRAK2","Immune System","Innate Immune System"
"522","Interleukin-1 signaling","IRAK2","Immune System","Cytokine Signaling in Immune system"
"523","MyD88 dependent cascade initiated on endosome","IRAK2","Immune System","Innate Immune System"
"524","Toll Like Receptor 3 (TLR3) Cascade","IRAK2","Immune System","Innate Immune System"
"525","Toll Like Receptor 10 (TLR10) Cascade","IRAK2","Immune System","Innate Immune System"
"526","Toll Like Receptor 7/8 (TLR7/8) Cascade","IRAK2","Immune System","Innate Immune System"
"527","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","IRAK2","Immune System","Innate Immune System"
"528","Toll Like Receptor TLR6:TLR2 Cascade","IRAK2","Immune System","Innate Immune System"
"529","Interferon Signaling","IRF1","Immune System","Cytokine Signaling in Immune system"
"530","Hemostasis","IRF1","Hemostasis","Hemostasis"
"531","DDX58/IFIH1-mediated induction of interferon-alpha/beta","IRF1","Immune System","Innate Immune System"
"532","Cellular Senescence","JUN","Cellular responses to external stimuli","Cellular responses to stress"
"533","Fc epsilon receptor (FCERI) signaling","JUN","Immune System","Innate Immune System"
"534","MAPK targets/ Nuclear events mediated by MAP kinases","JUN","Immune System","Innate Immune System"
"535","MAPK family signaling cascades","JUN","Signal Transduction","MAPK family signaling cascades"
"536","Pre-NOTCH Expression and Processing","JUN","Signal Transduction","Signaling by NOTCH"
"537","Activation of HOX genes during differentiation","JUN","Developmental Biology","Activation of HOX genes during differentiation"
"538","PTEN Regulation","JUN","Signal Transduction","Intracellular signaling by second messengers"
"539","Transcriptional Regulation by TP53","JUN","Gene expression (Transcription)","RNA Polymerase II Transcription"
"540","Neurodegenerative Diseases","JUN","Disease","Neurodegenerative Diseases"
"541","Cardiac conduction","KCNJ2","Muscle contraction","Cardiac conduction"
"542","G protein gated Potassium channels","KCNJ2","Neuronal System","Potassium Channels"
"543","Inwardly rectifying K+ channels","KCNJ2","Neuronal System","Potassium Channels"
"544","Activation of GABAB receptors","KCNJ2","Neuronal System","Transmission across Chemical Synapses"
"545","Chromatin modifying enzymes","KDM3A","Chromatin organization","Chromatin modifying enzymes"
"546","VEGF ligand-receptor interactions","KDR","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"547","Signaling by VEGF","KDR","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"548","Extracellular matrix organization","KDR","Extracellular matrix organization","Extracellular matrix organization"
"549","VEGFA-VEGFR2 Pathway","KDR","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"550","Peptide hormone metabolism","KLF4","Metabolism of proteins","Peptide hormone metabolism"
"551","Developmental Biology","KLF4","Developmental Biology","Developmental Biology"
"552","Transcriptional regulation by RUNX1","KMT2A","Gene expression (Transcription)","RNA Polymerase II Transcription"
"553","Chromatin modifying enzymes","KMT2A","Chromatin organization","Chromatin modifying enzymes"
"554","Gastrin-CREB signalling pathway via PKC and MAPK","KRAS","Signal Transduction","Signaling by GPCR"
"555","RAF/MAP kinase cascade","KRAS","Signal Transduction","MAPK family signaling cascades"
"556","C-type lectin receptors (CLRs)","KRAS","Immune System","Innate Immune System"
"557","Oncogenic MAPK signaling","KRAS","Disease","Diseases of signal transduction"
"558","Signaling by Ligand-Responsive EGFR Variants in Cancer","KRAS","Disease","Diseases of signal transduction"
"559","Signaling by ERBB4","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"560","Downstream signaling of activated FGFR2","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"561","Downstream signaling of activated FGFR1","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"562","Signaling by FGFR in disease","KRAS","Disease","Diseases of signal transduction"
"563","Downstream signaling of activated FGFR4","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"564","Signaling by PTK6","KRAS","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"565","VEGFA-VEGFR2 Pathway","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"566","Downstream signaling of activated FGFR3","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"567","Signaling by EGFR","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"568","Signaling by FGFR3 in disease","KRAS","Disease","Diseases of signal transduction"
"569","Signaling by PDGF","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"570","Signaling by ERBB2","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"571","Cell surface interactions at the vascular wall","KRAS","Hemostasis","Cell surface interactions at the vascular wall"
"572","IRS-mediated signalling","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"573","Signaling by Receptor Tyrosine Kinases","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"574","Axon guidance","KRAS","Developmental Biology","Axon guidance"
"575","Signaling by MET","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"576","Signaling by EGFRvIII in Cancer","KRAS","Disease","Diseases of signal transduction"
"577","Signalling to RAS","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"578","Downstream signaling events of B Cell Receptor (BCR)","KRAS","Immune System","Adaptive Immune System"
"579","MAPK1/MAPK3 signaling","KRAS","Signal Transduction","MAPK family signaling cascades"
"580","IGF1R signaling cascade","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"581","Transcriptional regulation by RUNX3","KRAS","Gene expression (Transcription)","RNA Polymerase II Transcription"
"582","Signaling by Insulin receptor","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"583","Fc epsilon receptor (FCERI) signaling","KRAS","Immune System","Innate Immune System"
"584","Signalling to ERKs","KRAS","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"585","DAP12 interactions","KRAS","Immune System","Innate Immune System"
"586","Extracellular matrix organization","LAMB3","Extracellular matrix organization","Extracellular matrix organization"
"587","MET promotes cell motility","LAMB3","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"588","Assembly of collagen fibrils and other multimeric structures","LAMB3","Extracellular matrix organization","Collagen formation"
"589","Cell junction organization","LAMB3","Cell-Cell communication","Cell junction organization"
"590","Collagen formation","LAMB3","Extracellular matrix organization","Collagen formation"
"591","Extracellular matrix organization","LAMC1","Extracellular matrix organization","Extracellular matrix organization"
"592","Metabolism of proteins","LAMC1","Metabolism of proteins","Metabolism of proteins"
"593","Post-translational protein modification","LAMC1","Metabolism of proteins","Post-translational protein modification"
"594","MET promotes cell motility","LAMC1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"595","Axon guidance","LAMC1","Developmental Biology","Axon guidance"
"596","Metabolism of fat-soluble vitamins","LRP8","Metabolism","Metabolism of vitamins and cofactors"
"597","Platelet homeostasis","LRP8","Hemostasis","Platelet homeostasis"
"598","Visual phototransduction","LRP8","Signal Transduction","Signaling by GPCR"
"599","Signaling by Receptor Tyrosine Kinases","LYN","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"600","Interleukin-3, 5 and GM-CSF signaling","LYN","Immune System","Cytokine Signaling in Immune system"
"601","EPH-Ephrin signaling","LYN","Developmental Biology","Axon guidance"
"602","Fc epsilon receptor (FCERI) signaling","LYN","Immune System","Innate Immune System"
"603","Signaling by SCF-KIT","LYN","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"604","Cytokine Signaling in Immune system","LYN","Immune System","Cytokine Signaling in Immune system"
"605","Signaling by the B Cell Receptor (BCR)","LYN","Immune System","Adaptive Immune System"
"606","Costimulation by the CD28 family","LYN","Immune System","Adaptive Immune System"
"607","Hemostasis","LYN","Hemostasis","Hemostasis"
"608","Axon guidance","LYN","Developmental Biology","Axon guidance"
"609","G1 Phase","LYN","Cell Cycle","Cell Cycle, Mitotic"
"610","Fcgamma receptor (FCGR) dependent phagocytosis","LYN","Immune System","Innate Immune System"
"611","C-type lectin receptors (CLRs)","LYN","Immune System","Innate Immune System"
"612","Innate Immune System","LYN","Immune System","Innate Immune System"
"613","Platelet activation, signaling and aggregation","LYN","Hemostasis","Platelet activation, signaling and aggregation"
"614","Cell surface interactions at the vascular wall","LYN","Hemostasis","Cell surface interactions at the vascular wall"
"615","RUNX2 regulates bone development","MAF","Gene expression (Transcription)","RNA Polymerase II Transcription"
"616","Hemostasis","MAFF","Hemostasis","Hemostasis"
"617","Hemostasis","MAFG","Hemostasis","Hemostasis"
"618","Myogenesis","MAP2K6","Developmental Biology","Myogenesis"
"619","Regulation of TP53 Activity through Acetylation","MAP2K6","Gene expression (Transcription)","RNA Polymerase II Transcription"
"620","MAP kinase activation in TLR cascade","MAP2K6","Immune System","Innate Immune System"
"621","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","MAP2K6","Immune System","Innate Immune System"
"622","Cellular Senescence","MAP2K6","Cellular responses to external stimuli","Cellular responses to stress"
